episodio,retorno,c_medio,coste_medio,epsilon,error_TD_medio
491,103.7112,0.3341,5.1288,0.0200,0.633095
492,135.8287,0.3333,5.1233,0.0200,0.632924
493,135.3007,0.3227,5.0822,0.0200,0.883404
494,113.5176,0.3342,5.1233,0.0200,0.672439
495,90.7002,0.3392,5.2822,0.0200,0.636120
496,119.1816,0.3463,5.0877,0.0200,0.680276
497,108.9329,0.3544,5.1260,0.0200,0.693716
498,137.1058,0.3418,5.2192,0.0200,0.647881
499,111.3948,0.3398,5.0685,0.0200,0.666994
500,153.8011,0.3430,5.0110,0.0200,0.606872
501,146.2873,0.3417,4.9671,0.0200,0.629890
502,131.5167,0.3340,5.1205,0.0200,0.852294
503,99.2476,0.3516,5.1342,0.0200,0.802375
504,102.4211,0.3523,5.1753,0.0200,0.772537
505,101.2286,0.3524,5.0384,0.0200,0.708502
506,149.0397,0.3431,5.0438,0.0200,0.614029
