episodio,retorno,c_medio,coste_medio,epsilon,error_TD_medio
421,111.4688,0.3425,5.0027,0.0200,0.588758
422,134.2335,0.3236,5.0740,0.0200,0.792705
423,86.5676,0.3380,5.1342,0.0200,0.636513
424,124.2481,0.3284,5.2301,0.0200,0.664293
425,103.2367,0.3345,5.1288,0.0200,0.602611
426,98.8271,0.3281,5.1370,0.0200,0.659363
427,73.7997,0.3399,5.0795,0.0200,0.742122
428,127.0524,0.3252,5.1781,0.0200,0.566346
429,111.6944,0.3304,5.1589,0.0200,0.511537
430,100.8840,0.3322,5.2192,0.0200,0.692427
431,109.5503,0.3288,5.2575,0.0200,0.651713
432,115.2813,0.3346,5.1068,0.0200,0.609473
433,111.9056,0.3288,5.1205,0.0200,0.543923
434,89.4838,0.3304,5.2219,0.0200,0.559058
435,103.2890,0.3423,5.2164,0.0200,0.664507
436,101.9977,0.3312,5.0822,0.0200,0.505139
437,149.3428,0.3263,5.2521,0.0200,0.651947
438,71.4792,0.3416,5.2247,0.0200,0.595677
439,100.4430,0.3339,5.1562,0.0200,0.600058
440,116.2440,0.3348,5.2959,0.0200,0.660162
441,146.1325,0.3346,5.0932,0.0200,0.587977
442,103.2219,0.3340,5.1370,0.0200,0.630942
443,113.7620,0.3415,5.1123,0.0200,0.513293
444,86.6504,0.3400,5.2247,0.0200,0.805536
445,118.1520,0.3333,5.1233,0.0200,0.625329
446,93.0634,0.3385,5.2658,0.0200,0.673306
447,111.7900,0.3305,5.0110,0.0200,0.563218
448,141.8402,0.3261,5.2767,0.0200,0.573267
449,106.9806,0.3449,5.0630,0.0200,0.682402
450,139.4521,0.3334,5.0630,0.0200,0.645834
451,99.7579,0.3405,5.1425,0.0200,0.619203
452,109.0589,0.3310,5.0822,0.0200,0.544991
453,115.8053,0.3275,5.2603,0.0200,0.720965
454,111.7146,0.3314,5.1781,0.0200,0.664561
455,90.1862,0.3294,5.0904,0.0200,0.529634
456,123.8417,0.3251,5.1151,0.0200,0.508162
457,120.6744,0.3367,5.0904,0.0200,0.557867
458,100.8691,0.3352,5.2575,0.0200,0.675206
459,107.2808,0.3291,5.2466,0.0200,0.595085
460,77.4435,0.3399,5.2110,0.0200,0.630046
461,140.9355,0.3284,5.1890,0.0200,0.610023
462,81.8130,0.3391,5.2959,0.0200,0.812146
463,155.5848,0.3251,5.0658,0.0200,0.523728
464,98.1992,0.3191,5.2192,0.0200,0.590813
465,72.7041,0.3276,5.1836,0.0200,0.584432
466,77.8295,0.3372,5.2849,0.0200,0.695274
467,111.2622,0.3337,5.2110,0.0200,0.604592
468,129.2053,0.3367,5.1178,0.0200,0.520073
469,120.2087,0.3441,5.0274,0.0200,0.668400
470,125.3062,0.3202,5.0685,0.0200,0.533524
471,133.6016,0.3300,5.1644,0.0200,0.608252
472,116.3586,0.3434,5.1918,0.0200,0.700130
473,139.4359,0.3179,5.0959,0.0200,0.625504
474,131.0393,0.3239,5.1562,0.0200,0.667630
475,100.1981,0.3333,5.2110,0.0200,0.804974
476,129.4257,0.3101,5.2027,0.0200,0.642583
477,119.5367,0.3427,5.1425,0.0200,0.670609
478,118.9670,0.3431,5.0603,0.0200,0.598176
479,142.2779,0.3214,5.1726,0.0200,0.536020
480,127.1219,0.3308,5.2192,0.0200,0.725006
481,87.2311,0.3313,5.0521,0.0200,0.633498
482,116.9406,0.3249,5.1288,0.0200,0.652108
483,124.5286,0.3331,5.2466,0.0200,0.635416
484,156.3332,0.3189,4.9452,0.0200,0.741160
485,104.6445,0.3333,5.0685,0.0200,0.662246
486,105.3873,0.3354,5.0877,0.0200,0.655233
487,144.4941,0.3384,5.1370,0.0200,0.589150
488,84.5818,0.3360,5.2192,0.0200,0.647762
489,137.0818,0.3395,4.9178,0.0200,0.678716
490,100.1117,0.3394,5.0658,0.0200,0.609237
