estado,situacion_completa,fase,visitas,top1_accion,top1_prob,top1_coste,top2_accion,top2_prob,top2_coste,top3_accion,top3_prob,top3_coste
c=B dc=- h=M dh=- L=M dL=0 preo=A,contagio Bajo (baja); hospital Medio (baja); restriccion Medio (estable); cumplimiento Alto,calma,150,"(2, 1, 0, 2)",0.9953,7.0,"(2, 2, 2, 2)",0.0001,10.0,"(0, 2, 0, 2)",0.0001,6.0
c=B dc=- h=M dh=- L=M dL=+ preo=B,contagio Bajo (baja); hospital Medio (baja); restriccion Medio (sube); cumplimiento Bajo,calma,113376,"(0, 0, 0, 0)",0.0320,0.0,"(1, 0, 0, 0)",0.0253,1.0,"(2, 1, 2, 0)",0.0251,5.0
c=B dc=- h=M dh=- L=M dL=+ preo=M,contagio Bajo (baja); hospital Medio (baja); restriccion Medio (sube); cumplimiento Medio,calma,1858,"(2, 0, 1, 0)",0.7621,3.0,"(1, 1, 2, 2)",0.0977,8.0,"(1, 2, 0, 1)",0.0440,5.0
c=B dc=- h=M dh=- L=M dL=+ preo=A,contagio Bajo (baja); hospital Medio (baja); restriccion Medio (sube); cumplimiento Alto,calma,236,"(0, 2, 1, 1)",0.9752,5.0,"(0, 1, 1, 0)",0.0174,2.0,"(2, 0, 1, 2)",0.0028,7.0
c=B dc=- h=M dh=- L=A dL=- preo=B,contagio Bajo (baja); hospital Medio (baja); restriccion Alto (baja); cumplimiento Bajo,calma,12136,"(2, 2, 1, 0)",0.1264,5.0,"(2, 1, 1, 0)",0.0796,4.0,"(1, 0, 2, 0)",0.0663,3.0
c=B dc=- h=M dh=- L=A dL=- preo=M,contagio Bajo (baja); hospital Medio (baja); restriccion Alto (baja); cumplimiento Medio,calma,1338,"(2, 0, 0, 0)",0.9846,2.0,"(0, 1, 1, 1)",0.0049,4.0,"(0, 2, 1, 2)",0.0017,7.0
c=B dc=- h=M dh=- L=A dL=- preo=A,contagio Bajo (baja); hospital Medio (baja); restriccion Alto (baja); cumplimiento Alto,calma,141,"(2, 2, 0, 2)",0.7882,8.0,"(1, 0, 0, 0)",0.2076,1.0,"(2, 1, 1, 2)",0.0001,8.0
c=B dc=- h=M dh=- L=A dL=0 preo=B,contagio Bajo (baja); hospital Medio (baja); restriccion Alto (estable); cumplimiento Bajo,calma,2525,"(1, 1, 2, 0)",0.8610,4.0,"(1, 1, 0, 1)",0.0976,4.0,"(2, 2, 1, 2)",0.0084,9.0
c=B dc=- h=M dh=- L=A dL=0 preo=M,contagio Bajo (baja); hospital Medio (baja); restriccion Alto (estable); cumplimiento Medio,calma,2593,"(2, 2, 0, 1)",0.7714,6.0,"(1, 2, 0, 0)",0.1527,3.0,"(1, 0, 0, 1)",0.0414,3.0
c=B dc=- h=M dh=- L=A dL=0 preo=A,contagio Bajo (baja); hospital Medio (baja); restriccion Alto (estable); cumplimiento Alto,calma,71,"(1, 1, 1, 1)",0.9482,5.0,"(1, 2, 1, 0)",0.0311,4.0,"(2, 2, 2, 0)",0.0130,6.0
c=B dc=- h=M dh=- L=A dL=+ preo=B,contagio Bajo (baja); hospital Medio (baja); restriccion Alto (sube); cumplimiento Bajo,calma,326612,"(0, 0, 0, 0)",0.0369,0.0,"(0, 1, 0, 0)",0.0264,1.0,"(1, 2, 2, 0)",0.0240,5.0
c=B dc=- h=M dh=- L=A dL=+ preo=M,contagio Bajo (baja); hospital Medio (baja); restriccion Alto (sube); cumplimiento Medio,calma,47389,"(2, 2, 2, 0)",0.0404,6.0,"(1, 2, 0, 1)",0.0305,5.0,"(1, 1, 0, 0)",0.0284,2.0
c=B dc=- h=M dh=- L=A dL=+ preo=A,contagio Bajo (baja); hospital Medio (baja); restriccion Alto (sube); cumplimiento Alto,calma,2786,"(2, 0, 0, 1)",0.5459,4.0,"(0, 2, 2, 0)",0.1238,4.0,"(2, 1, 2, 0)",0.1162,5.0
c=B dc=- h=M dh=0 L=B dL=- preo=B,contagio Bajo (baja); hospital Medio (estable); restriccion Bajo (baja); cumplimiento Bajo,calma,2098,"(2, 2, 0, 2)",0.9696,8.0,"(0, 2, 2, 1)",0.0216,6.0,"(1, 0, 2, 2)",0.0044,7.0
c=B dc=- h=M dh=0 L=B dL=- preo=M,contagio Bajo (baja); hospital Medio (estable); restriccion Bajo (baja); cumplimiento Medio,calma,204,"(1, 1, 0, 0)",0.9889,2.0,"(2, 2, 2, 1)",0.0048,8.0,"(0, 0, 0, 1)",0.0029,2.0
c=B dc=- h=M dh=0 L=B dL=- preo=A,contagio Bajo (baja); hospital Medio (estable); restriccion Bajo (baja); cumplimiento Alto,calma,21,"(2, 1, 2, 2)",0.9969,9.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 2)",0.0000,5.0
c=B dc=- h=M dh=0 L=B dL=0 preo=B,contagio Bajo (baja); hospital Medio (estable); restriccion Bajo (estable); cumplimiento Bajo,calma,91,"(2, 1, 2, 1)",0.9998,7.0,"(1, 0, 0, 1)",0.0002,3.0,"(1, 0, 0, 2)",0.0000,5.0
c=B dc=- h=M dh=0 L=B dL=0 preo=M,contagio Bajo (baja); hospital Medio (estable); restriccion Bajo (estable); cumplimiento Medio,calma,4,"(2, 1, 0, 1)",0.9920,5.0,"(2, 2, 2, 2)",0.0001,10.0,"(1, 0, 0, 1)",0.0001,3.0
c=B dc=- h=M dh=0 L=B dL=0 preo=A,contagio Bajo (baja); hospital Medio (estable); restriccion Bajo (estable); cumplimiento Alto,calma,1,"(2, 1, 2, 1)",0.6202,7.0,"(1, 0, 0, 2)",0.0047,5.0,"(0, 2, 1, 0)",0.0047,3.0
c=B dc=- h=M dh=0 L=B dL=+ preo=B,contagio Bajo (baja); hospital Medio (estable); restriccion Bajo (sube); cumplimiento Bajo,calma,151,"(1, 0, 0, 2)",0.9994,5.0,"(1, 0, 1, 0)",0.0003,2.0,"(0, 2, 1, 0)",0.0001,3.0
c=B dc=- h=M dh=0 L=B dL=+ preo=M,contagio Bajo (baja); hospital Medio (estable); restriccion Bajo (sube); cumplimiento Medio,calma,4,"(0, 2, 0, 1)",0.9556,4.0,"(1, 1, 1, 0)",0.0006,3.0,"(0, 2, 1, 0)",0.0006,3.0
c=B dc=- h=M dh=0 L=B dL=+ preo=A,contagio Bajo (baja); hospital Medio (estable); restriccion Bajo (sube); cumplimiento Alto,calma,0,"(2, 2, 2, 2)",0.0123,10.0,"(1, 1, 1, 0)",0.0123,3.0,"(0, 2, 1, 0)",0.0123,3.0
c=B dc=- h=M dh=0 L=M dL=- preo=B,contagio Bajo (baja); hospital Medio (estable); restriccion Medio (baja); cumplimiento Bajo,calma,13290,"(2, 0, 0, 0)",0.1303,2.0,"(0, 0, 1, 1)",0.0751,3.0,"(1, 2, 0, 1)",0.0606,5.0
c=B dc=- h=M dh=0 L=M dL=- preo=M,contagio Bajo (baja); hospital Medio (estable); restriccion Medio (baja); cumplimiento Medio,calma,9702,"(2, 1, 0, 2)",0.2376,7.0,"(2, 2, 2, 1)",0.0973,8.0,"(2, 2, 1, 1)",0.0552,7.0
c=B dc=- h=M dh=0 L=M dL=- preo=A,contagio Bajo (baja); hospital Medio (estable); restriccion Medio (baja); cumplimiento Alto,calma,18,"(2, 0, 2, 0)",0.9991,4.0,"(1, 1, 1, 0)",0.0000,3.0,"(0, 2, 1, 0)",0.0000,3.0
c=B dc=- h=M dh=0 L=M dL=0 preo=B,contagio Bajo (baja); hospital Medio (estable); restriccion Medio (estable); cumplimiento Bajo,calma,3825,"(0, 1, 0, 1)",0.4453,3.0,"(2, 2, 1, 0)",0.2097,5.0,"(0, 2, 1, 0)",0.0932,3.0
c=B dc=- h=M dh=0 L=M dL=0 preo=M,contagio Bajo (baja); hospital Medio (estable); restriccion Medio (estable); cumplimiento Medio,calma,816,"(2, 1, 1, 2)",0.9890,8.0,"(0, 1, 2, 2)",0.0069,7.0,"(1, 0, 0, 2)",0.0010,5.0
c=B dc=- h=M dh=0 L=M dL=0 preo=A,contagio Bajo (baja); hospital Medio (estable); restriccion Medio (estable); cumplimiento Alto,calma,12,"(1, 1, 0, 1)",0.8008,4.0,"(2, 2, 2, 2)",0.0025,10.0,"(1, 0, 0, 1)",0.0025,3.0
c=B dc=- h=M dh=0 L=M dL=+ preo=B,contagio Bajo (baja); hospital Medio (estable); restriccion Medio (sube); cumplimiento Bajo,calma,70672,"(0, 0, 0, 0)",0.0331,0.0,"(0, 0, 0, 1)",0.0313,2.0,"(2, 1, 2, 1)",0.0278,7.0
c=B dc=- h=M dh=0 L=M dL=+ preo=M,contagio Bajo (baja); hospital Medio (estable); restriccion Medio (sube); cumplimiento Medio,calma,411,"(2, 1, 2, 0)",0.9998,5.0,"(2, 0, 1, 2)",0.0001,7.0,"(1, 1, 1, 1)",0.0000,5.0
c=B dc=- h=M dh=0 L=M dL=+ preo=A,contagio Bajo (baja); hospital Medio (estable); restriccion Medio (sube); cumplimiento Alto,calma,42,"(0, 1, 1, 1)",0.9966,4.0,"(2, 2, 2, 2)",0.0004,10.0,"(1, 1, 0, 1)",0.0001,4.0
c=B dc=- h=M dh=0 L=A dL=- preo=B,contagio Bajo (baja); hospital Medio (estable); restriccion Alto (baja); cumplimiento Bajo,calma,12296,"(0, 0, 0, 0)",0.2658,0.0,"(1, 2, 1, 0)",0.0704,4.0,"(2, 1, 1, 1)",0.0600,6.0
c=B dc=- h=M dh=0 L=A dL=- preo=M,contagio Bajo (baja); hospital Medio (estable); restriccion Alto (baja); cumplimiento Medio,calma,598,"(1, 2, 0, 1)",0.9216,5.0,"(0, 2, 2, 1)",0.0675,6.0,"(0, 2, 2, 2)",0.0039,8.0
c=B dc=- h=M dh=0 L=A dL=- preo=A,contagio Bajo (baja); hospital Medio (estable); restriccion Alto (baja); cumplimiento Alto,calma,14,"(2, 0, 1, 0)",0.9873,3.0,"(0, 1, 0, 0)",0.0026,1.0,"(1, 0, 0, 2)",0.0001,5.0
c=B dc=- h=M dh=0 L=A dL=0 preo=B,contagio Bajo (baja); hospital Medio (estable); restriccion Alto (estable); cumplimiento Bajo,calma,2901,"(2, 1, 0, 1)",0.6790,5.0,"(0, 1, 2, 1)",0.1083,5.0,"(2, 0, 1, 0)",0.0718,3.0
c=B dc=- h=M dh=0 L=A dL=0 preo=M,contagio Bajo (baja); hospital Medio (estable); restriccion Alto (estable); cumplimiento Medio,calma,1174,"(2, 2, 2, 2)",0.8628,10.0,"(0, 0, 0, 2)",0.0984,4.0,"(0, 2, 1, 2)",0.0192,7.0
c=B dc=- h=M dh=0 L=A dL=0 preo=A,contagio Bajo (baja); hospital Medio (estable); restriccion Alto (estable); cumplimiento Alto,calma,16,"(1, 0, 0, 0)",0.9879,1.0,"(2, 2, 2, 2)",0.0002,10.0,"(2, 2, 2, 1)",0.0002,8.0
c=B dc=- h=M dh=0 L=A dL=+ preo=B,contagio Bajo (baja); hospital Medio (estable); restriccion Alto (sube); cumplimiento Bajo,calma,232508,"(0, 0, 0, 0)",0.0377,0.0,"(2, 1, 2, 0)",0.0282,5.0,"(2, 0, 1, 0)",0.0267,3.0
c=B dc=- h=M dh=0 L=A dL=+ preo=M,contagio Bajo (baja); hospital Medio (estable); restriccion Alto (sube); cumplimiento Medio,calma,16959,"(2, 2, 0, 1)",0.1098,6.0,"(2, 1, 0, 1)",0.0575,5.0,"(2, 1, 0, 2)",0.0510,7.0
c=B dc=- h=M dh=0 L=A dL=+ preo=A,contagio Bajo (baja); hospital Medio (estable); restriccion Alto (sube); cumplimiento Alto,calma,214,"(2, 0, 1, 2)",0.8038,7.0,"(2, 2, 1, 2)",0.0706,9.0,"(1, 0, 1, 2)",0.0622,6.0
c=B dc=- h=M dh=+ L=B dL=- preo=B,contagio Bajo (baja); hospital Medio (sube); restriccion Bajo (baja); cumplimiento Bajo,calma,3646,"(2, 1, 2, 2)",0.7826,9.0,"(1, 0, 1, 0)",0.0734,2.0,"(1, 0, 0, 1)",0.0551,3.0
c=B dc=- h=M dh=+ L=B dL=- preo=M,contagio Bajo (baja); hospital Medio (sube); restriccion Bajo (baja); cumplimiento Medio,calma,314,"(2, 2, 2, 1)",0.9994,8.0,"(0, 2, 2, 0)",0.0005,4.0,"(1, 2, 2, 1)",0.0001,7.0
c=B dc=- h=M dh=+ L=B dL=- preo=A,contagio Bajo (baja); hospital Medio (sube); restriccion Bajo (baja); cumplimiento Alto,calma,52,"(1, 0, 1, 1)",0.2112,4.0,"(2, 2, 1, 2)",0.0557,9.0,"(2, 2, 0, 1)",0.0401,6.0
c=B dc=- h=M dh=+ L=B dL=0 preo=B,contagio Bajo (baja); hospital Medio (sube); restriccion Bajo (estable); cumplimiento Bajo,calma,166,"(1, 1, 0, 0)",0.9998,2.0,"(1, 2, 2, 2)",0.0001,9.0,"(1, 0, 2, 2)",0.0001,7.0
c=B dc=- h=M dh=+ L=B dL=0 preo=M,contagio Bajo (baja); hospital Medio (sube); restriccion Bajo (estable); cumplimiento Medio,calma,9,"(2, 2, 2, 1)",0.9993,8.0,"(0, 2, 0, 1)",0.0000,4.0,"(0, 2, 0, 2)",0.0000,6.0
c=B dc=- h=M dh=+ L=B dL=0 preo=A,contagio Bajo (baja); hospital Medio (sube); restriccion Bajo (estable); cumplimiento Alto,calma,1,"(2, 0, 2, 2)",0.5545,8.0,"(2, 2, 2, 2)",0.0056,10.0,"(1, 0, 0, 1)",0.0056,3.0
c=B dc=- h=M dh=+ L=B dL=+ preo=B,contagio Bajo (baja); hospital Medio (sube); restriccion Bajo (sube); cumplimiento Bajo,calma,231,"(0, 2, 0, 0)",0.9995,2.0,"(1, 0, 2, 0)",0.0001,3.0,"(0, 0, 2, 0)",0.0001,2.0
c=B dc=- h=M dh=+ L=B dL=+ preo=M,contagio Bajo (baja); hospital Medio (sube); restriccion Bajo (sube); cumplimiento Medio,calma,5,"(0, 1, 2, 0)",0.9949,3.0,"(2, 2, 2, 2)",0.0001,10.0,"(0, 2, 0, 2)",0.0001,6.0
c=B dc=- h=M dh=+ L=B dL=+ preo=A,contagio Bajo (baja); hospital Medio (sube); restriccion Bajo (sube); cumplimiento Alto,calma,2,"(2, 2, 0, 2)",0.4679,8.0,"(2, 2, 2, 2)",0.0067,10.0,"(1, 0, 0, 2)",0.0067,5.0
c=B dc=- h=M dh=+ L=M dL=- preo=B,contagio Bajo (baja); hospital Medio (sube); restriccion Medio (baja); cumplimiento Bajo,calma,20830,"(2, 2, 2, 0)",0.0565,6.0,"(2, 2, 2, 1)",0.0397,8.0,"(2, 1, 1, 2)",0.0371,8.0
c=B dc=- h=M dh=+ L=M dL=- preo=M,contagio Bajo (baja); hospital Medio (sube); restriccion Medio (baja); cumplimiento Medio,calma,12826,"(2, 1, 0, 1)",0.1223,5.0,"(2, 2, 2, 2)",0.0578,10.0,"(0, 1, 0, 2)",0.0541,5.0
c=B dc=- h=M dh=+ L=M dL=- preo=A,contagio Bajo (baja); hospital Medio (sube); restriccion Medio (baja); cumplimiento Alto,calma,48,"(0, 2, 1, 2)",0.9957,7.0,"(0, 2, 2, 1)",0.0003,6.0,"(2, 2, 2, 2)",0.0001,10.0
c=B dc=- h=M dh=+ L=M dL=0 preo=B,contagio Bajo (baja); hospital Medio (sube); restriccion Medio (estable); cumplimiento Bajo,calma,6198,"(2, 0, 1, 0)",0.4210,3.0,"(1, 2, 1, 2)",0.1057,8.0,"(0, 1, 0, 0)",0.0741,1.0
c=B dc=- h=M dh=+ L=M dL=0 preo=M,contagio Bajo (baja); hospital Medio (sube); restriccion Medio (estable); cumplimiento Medio,calma,1088,"(0, 0, 1, 1)",0.7838,3.0,"(1, 2, 1, 1)",0.1132,6.0,"(1, 1, 2, 1)",0.0878,6.0
c=B dc=- h=M dh=+ L=M dL=0 preo=A,contagio Bajo (baja); hospital Medio (sube); restriccion Medio (estable); cumplimiento Alto,calma,30,"(1, 1, 0, 2)",0.8227,6.0,"(1, 0, 0, 0)",0.0581,1.0,"(2, 1, 2, 2)",0.0042,9.0
c=B dc=- h=M dh=+ L=M dL=+ preo=B,contagio Bajo (baja); hospital Medio (sube); restriccion Medio (sube); cumplimiento Bajo,calma,133108,"(0, 0, 0, 0)",0.0321,0.0,"(2, 0, 2, 0)",0.0257,4.0,"(0, 1, 0, 0)",0.0237,1.0
c=B dc=- h=M dh=+ L=M dL=+ preo=M,contagio Bajo (baja); hospital Medio (sube); restriccion Medio (sube); cumplimiento Medio,calma,550,"(2, 0, 2, 2)",0.9075,8.0,"(2, 1, 0, 0)",0.0819,3.0,"(1, 0, 2, 2)",0.0027,7.0
c=B dc=- h=M dh=+ L=M dL=+ preo=A,contagio Bajo (baja); hospital Medio (sube); restriccion Medio (sube); cumplimiento Alto,calma,157,"(0, 2, 1, 1)",0.9545,5.0,"(0, 2, 0, 2)",0.0129,6.0,"(1, 1, 1, 2)",0.0045,7.0
c=B dc=- h=M dh=+ L=A dL=- preo=B,contagio Bajo (baja); hospital Medio (sube); restriccion Alto (baja); cumplimiento Bajo,calma,25536,"(0, 1, 0, 0)",0.0456,1.0,"(0, 0, 0, 0)",0.0369,0.0,"(0, 0, 0, 1)",0.0329,2.0
c=B dc=- h=M dh=+ L=A dL=- preo=M,contagio Bajo (baja); hospital Medio (sube); restriccion Alto (baja); cumplimiento Medio,calma,1139,"(1, 0, 1, 0)",0.4666,2.0,"(1, 2, 1, 2)",0.3001,8.0,"(2, 2, 1, 0)",0.1351,5.0
c=B dc=- h=M dh=+ L=A dL=- preo=A,contagio Bajo (baja); hospital Medio (sube); restriccion Alto (baja); cumplimiento Alto,calma,33,"(2, 2, 0, 1)",0.9769,6.0,"(0, 1, 0, 2)",0.0009,5.0,"(2, 2, 2, 2)",0.0003,10.0
c=B dc=- h=M dh=+ L=A dL=0 preo=B,contagio Bajo (baja); hospital Medio (sube); restriccion Alto (estable); cumplimiento Bajo,calma,28727,"(0, 0, 0, 0)",0.0624,0.0,"(2, 1, 2, 0)",0.0344,5.0,"(2, 0, 1, 1)",0.0323,5.0
c=B dc=- h=M dh=+ L=A dL=0 preo=M,contagio Bajo (baja); hospital Medio (sube); restriccion Alto (estable); cumplimiento Medio,calma,2243,"(2, 0, 1, 0)",0.9236,3.0,"(2, 1, 1, 0)",0.0236,4.0,"(2, 0, 1, 2)",0.0184,7.0
c=B dc=- h=M dh=+ L=A dL=0 preo=A,contagio Bajo (baja); hospital Medio (sube); restriccion Alto (estable); cumplimiento Alto,calma,27,"(2, 2, 1, 2)",0.9987,9.0,"(2, 2, 2, 2)",0.0000,10.0,"(1, 0, 0, 2)",0.0000,5.0
c=B dc=- h=M dh=+ L=A dL=+ preo=B,contagio Bajo (baja); hospital Medio (sube); restriccion Alto (sube); cumplimiento Bajo,calma,545000,"(0, 0, 0, 0)",0.0399,0.0,"(0, 1, 0, 0)",0.0275,1.0,"(2, 1, 2, 0)",0.0270,5.0
c=B dc=- h=M dh=+ L=A dL=+ preo=M,contagio Bajo (baja); hospital Medio (sube); restriccion Alto (sube); cumplimiento Medio,calma,22685,"(1, 2, 2, 0)",0.0833,5.0,"(1, 2, 0, 1)",0.0388,5.0,"(2, 1, 1, 0)",0.0358,4.0
c=B dc=- h=M dh=+ L=A dL=+ preo=A,contagio Bajo (baja); hospital Medio (sube); restriccion Alto (sube); cumplimiento Alto,calma,640,"(1, 0, 0, 1)",0.7590,3.0,"(2, 1, 0, 0)",0.0325,3.0,"(0, 0, 0, 1)",0.0289,2.0
c=B dc=- h=A dh=- L=B dL=- preo=B,contagio Bajo (baja); hospital Alto (baja); restriccion Bajo (baja); cumplimiento Bajo,emergencia,185,"(2, 2, 2, 2)",0.9985,10.0,"(0, 2, 2, 1)",0.0005,6.0,"(1, 1, 1, 1)",0.0004,5.0
c=B dc=- h=A dh=- L=B dL=- preo=M,contagio Bajo (baja); hospital Alto (baja); restriccion Bajo (baja); cumplimiento Medio,emergencia,800,"(1, 0, 2, 2)",0.8922,7.0,"(2, 1, 2, 1)",0.0671,7.0,"(1, 1, 2, 2)",0.0096,8.0
c=B dc=- h=A dh=- L=B dL=- preo=A,contagio Bajo (baja); hospital Alto (baja); restriccion Bajo (baja); cumplimiento Alto,emergencia,19975,"(2, 1, 2, 1)",0.0468,7.0,"(0, 1, 0, 0)",0.0244,1.0,"(1, 0, 2, 0)",0.0214,3.0
c=B dc=- h=A dh=- L=B dL=0 preo=B,contagio Bajo (baja); hospital Alto (baja); restriccion Bajo (estable); cumplimiento Bajo,emergencia,2,"(2, 0, 1, 2)",0.9668,7.0,"(2, 2, 2, 2)",0.0004,10.0,"(0, 2, 1, 0)",0.0004,3.0
c=B dc=- h=A dh=- L=B dL=0 preo=M,contagio Bajo (baja); hospital Alto (baja); restriccion Bajo (estable); cumplimiento Medio,emergencia,10,"(2, 2, 0, 1)",0.9936,6.0,"(0, 1, 1, 0)",0.0028,2.0,"(0, 2, 1, 2)",0.0025,7.0
c=B dc=- h=A dh=- L=B dL=0 preo=A,contagio Bajo (baja); hospital Alto (baja); restriccion Bajo (estable); cumplimiento Alto,emergencia,224,"(2, 0, 2, 2)",0.4785,8.0,"(2, 0, 2, 0)",0.0221,4.0,"(0, 0, 1, 0)",0.0139,1.0
c=B dc=- h=A dh=- L=B dL=+ preo=B,contagio Bajo (baja); hospital Alto (baja); restriccion Bajo (sube); cumplimiento Bajo,emergencia,3,"(2, 2, 2, 2)",0.9988,10.0,"(1, 1, 1, 0)",0.0000,3.0,"(0, 2, 1, 0)",0.0000,3.0
c=B dc=- h=A dh=- L=B dL=+ preo=M,contagio Bajo (baja); hospital Alto (baja); restriccion Bajo (sube); cumplimiento Medio,emergencia,8,"(1, 0, 1, 1)",0.3967,4.0,"(2, 2, 2, 2)",0.0075,10.0,"(1, 0, 0, 1)",0.0075,3.0
c=B dc=- h=A dh=- L=B dL=+ preo=A,contagio Bajo (baja); hospital Alto (baja); restriccion Bajo (sube); cumplimiento Alto,emergencia,308,"(2, 2, 1, 1)",0.4947,7.0,"(0, 0, 1, 2)",0.0070,5.0,"(0, 1, 0, 2)",0.0069,5.0
c=B dc=- h=A dh=- L=M dL=- preo=B,contagio Bajo (baja); hospital Alto (baja); restriccion Medio (baja); cumplimiento Bajo,emergencia,738,"(1, 1, 1, 2)",0.9909,7.0,"(0, 1, 2, 0)",0.0032,3.0,"(1, 1, 2, 0)",0.0015,4.0
c=B dc=- h=A dh=- L=M dL=- preo=M,contagio Bajo (baja); hospital Alto (baja); restriccion Medio (baja); cumplimiento Medio,emergencia,5075,"(1, 1, 1, 1)",0.2684,5.0,"(0, 1, 1, 2)",0.1118,6.0,"(1, 2, 1, 1)",0.1056,6.0
c=B dc=- h=A dh=- L=M dL=- preo=A,contagio Bajo (baja); hospital Alto (baja); restriccion Medio (baja); cumplimiento Alto,emergencia,31789,"(2, 2, 0, 0)",0.0202,4.0,"(2, 2, 2, 2)",0.0168,10.0,"(0, 2, 1, 2)",0.0162,7.0
c=B dc=- h=A dh=- L=M dL=0 preo=B,contagio Bajo (baja); hospital Alto (baja); restriccion Medio (estable); cumplimiento Bajo,emergencia,30,"(0, 2, 0, 2)",0.9995,6.0,"(2, 0, 2, 1)",0.0003,6.0,"(1, 0, 0, 1)",0.0000,3.0
c=B dc=- h=A dh=- L=M dL=0 preo=M,contagio Bajo (baja); hospital Alto (baja); restriccion Medio (estable); cumplimiento Medio,emergencia,607,"(0, 2, 1, 2)",0.9853,7.0,"(0, 0, 1, 2)",0.0041,5.0,"(1, 0, 2, 1)",0.0024,5.0
c=B dc=- h=A dh=- L=M dL=0 preo=A,contagio Bajo (baja); hospital Alto (baja); restriccion Medio (estable); cumplimiento Alto,emergencia,9211,"(1, 2, 1, 0)",0.0365,4.0,"(0, 2, 2, 0)",0.0246,4.0,"(2, 0, 2, 2)",0.0244,8.0
c=B dc=- h=A dh=- L=M dL=+ preo=B,contagio Bajo (baja); hospital Alto (baja); restriccion Medio (sube); cumplimiento Bajo,emergencia,240,"(0, 1, 2, 2)",0.9935,7.0,"(0, 0, 0, 2)",0.0025,4.0,"(1, 0, 1, 1)",0.0014,4.0
c=B dc=- h=A dh=- L=M dL=+ preo=M,contagio Bajo (baja); hospital Alto (baja); restriccion Medio (sube); cumplimiento Medio,emergencia,793,"(2, 2, 0, 2)",0.8754,8.0,"(2, 1, 0, 2)",0.0479,7.0,"(1, 2, 1, 0)",0.0261,4.0
c=B dc=- h=A dh=- L=M dL=+ preo=A,contagio Bajo (baja); hospital Alto (baja); restriccion Medio (sube); cumplimiento Alto,emergencia,3321,"(1, 2, 1, 2)",0.1767,8.0,"(1, 1, 1, 0)",0.0752,3.0,"(0, 0, 0, 2)",0.0629,4.0
c=B dc=- h=A dh=- L=A dL=- preo=B,contagio Bajo (baja); hospital Alto (baja); restriccion Alto (baja); cumplimiento Bajo,emergencia,313,"(0, 1, 0, 1)",0.9723,3.0,"(0, 0, 0, 0)",0.0125,0.0,"(1, 1, 0, 0)",0.0079,2.0
c=B dc=- h=A dh=- L=A dL=- preo=M,contagio Bajo (baja); hospital Alto (baja); restriccion Alto (baja); cumplimiento Medio,emergencia,416,"(0, 1, 1, 2)",0.9365,6.0,"(2, 0, 1, 0)",0.0254,3.0,"(0, 2, 2, 1)",0.0216,6.0
c=B dc=- h=A dh=- L=A dL=- preo=A,contagio Bajo (baja); hospital Alto (baja); restriccion Alto (baja); cumplimiento Alto,emergencia,9201,"(2, 2, 2, 2)",0.0536,10.0,"(0, 1, 0, 0)",0.0360,1.0,"(1, 0, 2, 1)",0.0360,5.0
c=B dc=- h=A dh=- L=A dL=0 preo=B,contagio Bajo (baja); hospital Alto (baja); restriccion Alto (estable); cumplimiento Bajo,emergencia,275,"(2, 1, 2, 0)",0.9767,5.0,"(0, 2, 0, 1)",0.0126,4.0,"(2, 1, 0, 0)",0.0021,3.0
c=B dc=- h=A dh=- L=A dL=0 preo=M,contagio Bajo (baja); hospital Alto (baja); restriccion Alto (estable); cumplimiento Medio,emergencia,1031,"(0, 0, 1, 0)",0.8998,1.0,"(0, 2, 0, 0)",0.0541,2.0,"(1, 2, 0, 1)",0.0151,5.0
c=B dc=- h=A dh=- L=A dL=0 preo=A,contagio Bajo (baja); hospital Alto (baja); restriccion Alto (estable); cumplimiento Alto,emergencia,4521,"(2, 1, 2, 2)",0.0915,9.0,"(1, 0, 1, 0)",0.0607,2.0,"(0, 2, 2, 1)",0.0532,6.0
c=B dc=- h=A dh=- L=A dL=+ preo=B,contagio Bajo (baja); hospital Alto (baja); restriccion Alto (sube); cumplimiento Bajo,emergencia,4944,"(2, 0, 1, 1)",0.2348,5.0,"(2, 2, 0, 1)",0.1361,6.0,"(2, 0, 2, 2)",0.1098,8.0
c=B dc=- h=A dh=- L=A dL=+ preo=M,contagio Bajo (baja); hospital Alto (baja); restriccion Alto (sube); cumplimiento Medio,emergencia,14396,"(1, 2, 2, 0)",0.0650,5.0,"(2, 0, 1, 2)",0.0481,7.0,"(2, 1, 2, 2)",0.0333,9.0
c=B dc=- h=A dh=- L=A dL=+ preo=A,contagio Bajo (baja); hospital Alto (baja); restriccion Alto (sube); cumplimiento Alto,emergencia,116371,"(2, 2, 0, 0)",0.0369,4.0,"(0, 1, 1, 1)",0.0263,4.0,"(1, 1, 0, 1)",0.0201,4.0
c=B dc=- h=A dh=0 L=B dL=- preo=B,contagio Bajo (baja); hospital Alto (estable); restriccion Bajo (baja); cumplimiento Bajo,emergencia,37,"(0, 2, 0, 0)",0.9998,2.0,"(2, 2, 0, 2)",0.0000,8.0,"(1, 0, 0, 2)",0.0000,5.0
c=B dc=- h=A dh=0 L=B dL=- preo=M,contagio Bajo (baja); hospital Alto (estable); restriccion Bajo (baja); cumplimiento Medio,emergencia,103,"(0, 1, 2, 2)",0.9953,7.0,"(1, 2, 0, 2)",0.0020,7.0,"(1, 0, 2, 0)",0.0019,3.0
